Mã tỉnh/Mã cơ quan,Mã huyện/Mã loại xe
11,A
11,B
11,B1
11,BL
11,BM
11,C
11,D
11,E
11,F
11,G
11,G1
11,H
11,H1
11,HA
11,HL
11,HQ
11,K1
11,L1
11,LD
11,M1
11,N1
11,NB
11,P1
11,QH
11,R
11,S1
11,T1
11,TA
11,TK
11,U1
11,V1
11,X1
11,Y1
11,Z1
12,A
12,B
12,B1
12,BA
12,C
12,D
12,D1
12,E
12,F
12,FA
12,G
12,H
12,H1
12,HA
12,L1
12,LA
12,LD
12,P1
12,PA
12,R
12,S1
12,SA
12,T1
12,TA
12,U1
12,UA
12,V1
12,VA
12,X1
12,XA
12,Z1
12,ZA
14,A
14,AA
14,AB
14,AH
14,AK
14,AL
14,AM
14,AN
14,AP
14,AS
14,AT
14,AU
14,AV
14,AX
14,AY
14,AZ
14,B
14,B1
14,B4
14,B9
14,BC
14,BL
14,C
14,CP
14,CT
14,D
14,DH
14,E
14,F
14,G
14,H
14,HB
14,HH
14,HL
14,K
14,K1
14,L1
14,LD
14,M1
14,MC
14,N1
14,P1
14,QY
14,R
14,S1
14,T1
14,TY
14,U1
14,UB
14,V1
14,VD
14,X1
14,Y1
14,Z1
15,A
15,AA
15,AB
15,AC
15,AE
15,AF
15,AG
15,AH
15,AK
15,AL
15,AM
15,AN
15,AP
15,AS
15,AT
15,B
15,B1
15,B2
15,B3
15,B4
15,C
15,C1
15,D
15,D1
15,E
15,E1
15,F
15,F1
15,G
15,G1
15,G2
15,H
15,H1
15,K
15,K1
15,L1
15,LD
15,M1
15,N1
15,P1
15,R
15,R1
15,RM
15,S1
17,A
17,AB
17,AC
17,AD
17,AE
17,AF
17,AG
17,AH
17,AL
17,AM
17,AN
17,AP
17,AS
17,AT
17,AU
17,AV
17,AX
17,AY
17,AZ
17,B
17,B1
17,B2
17,B3
17,B4
17,B5
17,B6
17,B7
17,B8
17,B9
17,C
17,D
17,E
17,F
17,G
17,H
17,KT
17,LD
17,R
18,A
18,B
18,B1
18,B2
18,B3
18,BA
18,C
18,C1
18,CA
18,D
18,D1
18,DA
18,E
18,E1
18,EA
18,F
18,F1
18,FA
18,G
18,G1
18,GA
18,H
18,H1
18,HA
18,K1
18,KA
18,L1
18,LA
18,LD
18,M1
18,MA
18,R
19,A
19,AA
19,AB
19,AC
19,AD
19,AE
19,AF
19,AG
19,AH
19,AK
19,AL
19,AM
19,AN
19,AP
19,AS
19,B
19,B1
19,C
19,C1
19,D
19,D1
19,E
19,E1
19,F
19,F1
19,G
19,G1
19,H
19,H1
19,K
19,K1
19,L1
19,LD
19,M1
19,N1
19,P1
19,R
19,S1
19,U1
20,A
20,AA
20,AB
20,AC
20,AD
20,AE
20,AF
20,AG
20,AH
20,AK
20,B
20,B1
20,B2
20,C
20,C1
20,D
20,D1
20,E
20,E1
20,F
20,F1
20,G
20,G1
20,H
20,H1
20,K
20,K1
20,L1
20,LD
20,R
21,A
21,AA
21,B
21,B1
21,B2
21,BA
21,C
21,C1
21,CA
21,D
21,D1
21,E
21,E1
21,EA
21,F
21,F1
21,FA
21,G
21,G1
21,GA
21,H
21,H1
21,HA
21,K1
21,KA
21,L1
21,LA
21,LD
21,R
22,A
22,AA
22,AB
22,B
22,B1
22,B2
22,C
22,D
22,E
22,F
22,F1
22,FA
22,G
22,H
22,L1
22,LA
22,LD
22,N1
22,R
22,S1
22,S2
22,SA
22,T1
22,TA
22,Y1
22,YA
22,
23,A
23,AA
23,AB
23,AC
23,AD
23,AE
23,AH
23,AK
23,AM
23,AU
23,AV
23,AX
23,AY
23,B
23,B1
23,C
23,D
23,D1
23,E
23,E1
23,F
23,F1
23,G
23,G1
23,H
23,H1
23,K1
23,L1
23,LD
23,M1
23,N1
23,P1
23,R
24,A
24,AA
24,AB
24,AC
24,AD
24,AE
24,AF
24,AG
24,AH
24,AK
24,B
24,B1
24,B2
24,B3
24,C
24,D
24,E
24,F
24,G
24,H
24,HB
24,LD
24,P1
24,R
24,S1
24,T1
24,U1
24,V1
24,X1
24,Y1
24,Z1
25,A
25,AA
25,AB
25,AH
25,AL
25,AM
25,AN
25,AP
25,AS
25,AT
25,AU
25,B
25,B1
25,C
25,D
25,E
25,F
25,F1
25,G
25,H
25,H1
25,L1
25,LD
25,LM
25,M1
25,N1
25,P1
25,R
25,S1
25,T1
25,U1
26,A
26,AA
26,AB
26,AC
26,AD
26,AE
26,AF
26,AG
26,AH
26,AK
26,AL
26,AM
26,AP
26,B
26,B1
26,C
26,C1
26,D
26,D1
26,E
26,E1
26,F
26,F1
26,G
26,G1
26,H
26,H1
26,K1
26,L1
26,LD
26,M1
26,N1
26,P1
26,R
27,A
27,AA
27,AE
27,AL
27,AN
27,AP
27,AS
27,AT
27,AU
27,AV
27,AX
27,AY
27,AZ
27,B
27,B1
27,B2
27,C
27,D
27,E
27,F
27,G
27,H
27,L1
27,LD
27,N1
27,P1
27,R
27,S1
27,T1
27,U1
27,V1
27,X1
27,Y1
27,Z1
28,A
28,B
28,B1
28,C
28,C1
28,D
28,D1
28,E
28,E1
28,F
28,F1
28,FB
28,FC
28,FD
28,FE
28,FF
28,FL
28,FM
28,FN
28,FS
28,FZ
28,G
28,G1
28,H
28,H1
28,K1
28,L1
28,LD
28,M1
28,N1
28,R
29,A
29,AA
29,AD
29,AE
29,AF
29,AG
29,AH
29,AK
29,AL
29,AM
29,AN
29,AP
29,AS
29,AT
29,AU
29,AV
29,AX
29,AY
29,AZ
29,B
29,B1
29,B2
29,BA
29,BB
29,BC
29,BD
29,BE
29,BF
29,BG
29,BH
29,BK
29,BL
29,BM
29,BN
29,BP
29,C
29,C1
29,C2
29,D
29,D1
29,D2
29,E
29,E1
29,E2
29,E3
29,F
29,F1
29,G
29,G1
29,G2
29,H
29,H1
29,H2
29,K
29,K1
29,K2
29,KT
29,L
29,L1
29,L2
29,L5
29,LD
29,M
29,M1
29,M2
29,N1
29,N2
29,NG
29,NN
29,P1
29,P2
29,R
29,RM
29,S1
29,S2
29,S6
29,S7
29,T1
29,T2
29,U1
29,V1
29,V3
29,V5
29,V7
29,X1
29,X2
29,X3
29,X5
29,X7
29,Y1
29,Y3
29,Y5
29,Y7
29,Z1
30,A
30,B
30,C
30,D
30,E
30,F
30,G
30,H
30,K
30,KT
30,L
30,LD
30,M
30,NG
30,NN
30,R
30,RM
30,Z1
34,A
34,AA
34,AB
34,AC
34,AD
34,AE
34,AF
34,AG
34,AH
34,AK
34,AL
34,AM
34,AN
34,AS
34,B
34,B1
34,B2
34,B3
34,B4
34,B5
34,C
34,C1
34,D
34,D1
34,E
34,E1
34,F
34,F1
34,G
34,G1
34,H
34,H1
34,K1
34,L1
34,LD
34,M1
34,N1
34,P1
34,R
34,S1
35,A
35,AA
35,AC
35,AD
35,AE
35,AF
35,AH
35,AK
35,AN
35,AS
35,B
35,B1
35,B2
35,B3
35,C
35,C1
35,D
35,D1
35,E
35,E1
35,F
35,F1
35,G
35,G1
35,H
35,H1
35,K1
35,LD
35,M1
35,N1
35,R
35,T1
35,Y1
36,A
36,AB
36,AC
36,AE
36,AF
36,AG
36,AH
36,AK
36,AL
36,AM
36,AN
36,AP
36,AS
36,AT
36,AU
36,AV
36,AX
36,AY
36,AZ
36,B
36,B1
36,B2
36,B3
36,B4
36,B5
36,B6
36,B7
36,B8
36,BA
36,BB
36,BC
36,BD
36,BE
36,BF
36,BG
36,BH
36,BK
36,C
36,C1
36,C2
36,D
36,D1
36,E
36,E1
36,F
36,F1
36,F5
36,G
36,G1
36,G5
36,H
36,H1
36,H5
36,H7
36,K
36,K1
36,K3
36,K5
36,L1
36,L6
36,LD
36,M1
36,M3
36,N1
36,R
37,A
37,AC
37,AE
37,AF
37,AG
37,AH
37,AK
37,AL
37,AN
37,AS
37,AT
37,AU
37,B
37,B1
37,B2
37,B3
37,BA
37,C
37,C1
37,CA
37,D
37,D1
37,D2
37,E
37,E1
37,EA
37,F
37,F1
37,F2
37,F3
37,G
37,G1
37,GA
37,H
37,H1
37,H2
37,K
37,K1
37,K2
37,L1
37,L2
37,L3
37,LA
37,LD
37,M1
37,M2
37,MA
37,N1
37,N2
37,P1
37,PA
37,R
37,S1
37,SA
37,TA
37,
38,A
38,AA
38,AB
38,AC
38,AE
38,AF
38,AG
38,AK
38,AL
38,AM
38,AN
38,AP
38,AS
38,AX
38,B
38,B1
38,C
38,C1
38,D
38,D1
38,E
38,E1
38,F
38,F1
38,G
38,G1
38,H
38,H1
38,K
38,K1
38,L1
38,LD
38,M1
38,N1
38,P1
38,R
38,T1
38,X1
41,B1
43,A
43,AA
43,AB
43,AC
43,AD
43,AE
43,AF
43,AG
43,B
43,B1
43,C
43,C1
43,C2
43,D
43,D1
43,D2
43,E
43,E1
43,F
43,F1
43,G
43,G1
43,H
43,H1
43,K
43,K1
43,L1
43,LD
43,R
47,A
47,AA
47,AB
47,AC
47,AD
47,AE
47,AF
47,AG
47,AH
47,AK
47,AL
47,AM
47,AN
47,AP
47,AS
47,AU
47,AV
47,AX
47,B
47,B1
47,B2
47,B3
47,C
47,C1
47,D
47,D1
47,E
47,E1
47,F
47,F1
47,G
47,G1
47,H
47,H1
47,K
47,K1
47,L1
47,LD
47,M
47,M1
47,M2
47,N1
47,P1
47,R
47,S1
47,T1
47,U1
48,A
48,AA
48,AB
48,AC
48,AD
48,AE
48,AF
48,AG
48,AH
48,AK
48,B
48,B1
48,C
48,C1
48,D
48,D1
48,E
48,E1
48,F
48,F1
48,G
48,G1
48,H
48,H1
48,K1
48,LD
48,R
49,A
49,AA
49,AC
49,AD
49,AE
49,AF
49,AG
49,AH
49,AK
49,AL
49,AM
49,AN
49,AP
49,B
49,B1
49,B2
49,C
49,C1
49,D
49,D1
49,E
49,E1
49,E2
49,F
49,F1
49,G
49,G1
49,H
49,H1
49,K1
49,L1
49,LD
49,M1
49,N1
49,P1
49,R
49,S1
50,A
50,B
50,C
50,D
50,E
50,F
50,G
50,H
50,K
50,L
50,LD
50,M
50,N
50,N1
50,N2
50,NG
50,NN
50,R
50,RM
50,X1
50,Y1
50,Y2
51,A
51,B
51,C
51,D
51,E
51,F
51,G
51,H
51,K
51,L
51,LD
51,M
51,N
51,NG
51,NN
51,R
51,RM
52,NN
53,NN
59,AA
59,B1
59,BA
59,C1
59,C2
59,C3
59,C4
59,CA
59,CB
59,D1
59,D2
59,D3
59,DB
59,E1
59,E2
59,EA
59,F1
59,F2
59,FA
59,G1
59,G2
59,G3
59,GA
59,H1
59,H2
59,HA
59,K1
59,K2
59,KA
59,L1
59,L2
59,L3
59,LA
59,M1
59,M2
59,MA
59,N1
59,N2
59,N3
59,NB
59,NN
59,P1
59,P2
59,P3
59,PA
59,S1
59,S2
59,S3
59,SA
59,T1
59,T2
59,TA
59,U1
59,U2
59,UA
59,V1
59,V2
59,V3
59,VA
59,X1
59,X2
59,X3
59,X4
59,XA
59,XB
59,Y1
59,Y2
59,Y3
59,YA
59,YB
59,Z1
59,Z2
59,ZA
59,ZB
59,
60,A
60,AA
60,AB
60,AC
60,AD
60,AE
60,AF
60,AH
60,AK
60,AL
60,AM
60,AN
60,B
60,B1
60,B2
60,B3
60,B4
60,B5
60,B6
60,B7
60,B8
60,B9
60,C
60,C1
60,C2
60,D
60,E
60,F
60,F1
60,F2
60,F3
60,F4
60,G
60,G1
60,H
60,H1
60,H5
60,H6
60,K
60,LD
60,NN
60,R
60,RM
61,A
61,AA
61,B
61,B1
61,B2
61,BA
61,C
61,C1
61,C2
61,CA
61,D
61,D1
61,D2
61,E
61,E1
61,EA
61,F
61,F1
61,FA
61,G
61,G1
61,GA
61,H
61,H1
61,HA
61,K
61,K1
61,KA
61,LD
61,N1
61,R
61,
62,A
62,AA
62,AB
62,AC
62,AD
62,AE
62,AF
62,AG
62,AH
62,AK
62,AL
62,AM
62,AN
62,AP
62,AR
62,AS
62,B
62,B1
62,C
62,C1
62,D
62,D1
62,E
62,E1
62,F
62,F1
62,G
62,G1
62,H
62,H1
62,K1
62,L1
62,LD
62,M1
62,M2
62,N1
62,P1
62,P2
62,R
62,RM
62,S1
62,T1
62,U1
63,A
63,AB
63,AC
63,AD
63,AE
63,AF
63,AH
63,AK
63,AL
63,AM
63,AN
63,AS
63,B
63,B1
63,B2
63,B3
63,B4
63,B5
63,B6
63,B7
63,B8
63,B9
63,C
63,C1
63,D
63,D1
63,E
63,E1
63,F
63,G
63,G1
63,H
63,H1
63,LD
63,P
63,P1
63,R
64,A
64,AA
64,AC
64,B
64,B1
64,B2
64,BA
64,C
64,C1
64,CA
64,D
64,D1
64,DA
64,DB
64,E
64,E1
64,EA
64,F
64,F1
64,FA
64,G
64,G1
64,GA
64,H
64,H1
64,HA
64,HB
64,K1
64,KA
64,LD
64,R
65,A
65,AA
65,B
65,B1
65,B2
65,C
65,C1
65,CA
65,D
65,D1
65,DB
65,E
65,E1
65,EA
65,F
65,F1
65,FA
65,G
65,G1
65,GA
65,H
65,H1
65,HA
65,K1
65,KA
65,L1
65,LD
65,M1
65,MA
65,R
66,A
66,B
66,B1
66,BA
66,C
66,C1
66,CA
66,D
66,E
66,F
66,F1
66,F2
66,FA
66,G
66,G1
66,GA
66,H
66,H1
66,HA
66,K1
66,KA
66,L1
66,LA
66,LD
66,M1
66,MA
66,N1
66,P1
66,P2
66,PA
66,R
66,S1
66,SA
66,V1
66,V2
66,VA
66,
67,A
67,AA
67,AB
67,AD
67,AE
67,AF
67,AH
67,AK
67,AL
67,AM
67,AN
67,B
67,B1
67,B2
67,C
67,C1
67,C2
67,D
67,D1
67,D2
67,E
67,E1
67,F
67,F1
67,G
67,G1
67,H
67,H1
67,H2
67,K1
67,K2
67,L1
67,L2
67,LD
67,M1
67,M2
67,N1
67,R
68,A
68,AA
68,AB
68,B
68,B1
68,BA
68,C
68,C1
68,CA
68,D
68,D1
68,E
68,E1
68,EA
68,F
68,F1
68,FA
68,G
68,G1
68,G2
68,GA
68,H
68,H1
68,HA
68,K1
68,KA
68,KB
68,L1
68,LA
68,LD
68,M1
68,MA
68,N1
68,P1
68,PA
68,R
68,S1
68,SA
68,T1
68,TA
68,UA
68,X1
68,
69,A
69,AA
69,AB
69,AC
69,AD
69,AE
69,AF
69,AK
69,AL
69,AM
69,B
69,B1
69,C
69,C1
69,D
69,D1
69,E
69,E1
69,F
69,F1
69,G
69,H
69,H1
69,K1
69,KA
69,L1
69,LD
69,M1
69,N1
69,R
70,A
70,AA
70,B
70,B1
70,B2
70,B7
70,C
70,C1
70,CA
70,D
70,D1
70,DB
70,E
70,E1
70,EA
70,F
70,F1
70,F2
70,FA
70,G
70,G1
70,G2
70,GA
70,H
70,H1
70,HA
70,K1
70,KA
70,L1
70,L2
70,LA
70,LD
70,R
71,A
71,AA
71,AB
71,AC
71,AD
71,AE
71,AF
71,AG
71,AH
71,AK
71,B
71,B1
71,B2
71,B3
71,B4
71,C
71,C1
71,C2
71,C3
71,C4
71,D
71,E
71,F
71,G
71,G1
71,H
71,H1
71,K1
71,L1
71,LD
71,R
72,A
72,AC
72,AD
72,AE
72,AF
72,AH
72,AK
72,AL
72,AM
72,B
72,C
72,C1
72,C2
72,D
72,D1
72,E
72,E1
72,E2
72,F
72,F1
72,G
72,G1
72,H
72,H1
72,K1
72,L1
72,LD
72,R
73,A
73,AA
73,AB
73,AC
73,AD
73,AE
73,AF
73,AG
73,AH
73,B
73,B1
73,C
73,C1
73,D
73,D1
73,E
73,E1
73,F
73,F1
73,G
73,G1
73,H
73,H1
73,K1
73,LD
73,R
74,A
74,AA
74,AB
74,AC
74,AD
74,AE
74,AF
74,AG
74,AH
74,AK
74,B
74,B1
74,C
74,C1
74,D
74,D1
74,E
74,E1
74,F
74,F1
74,G
74,G1
74,H
74,H1
74,K1
74,L1
74,LD
74,P1
74,R
75,A
75,AB
75,AC
75,AD
75,AE
75,AF
75,AG
75,AH
75,AK
75,AL
75,AM
75,AN
75,AP
75,AS
75,AT
75,AU
75,AV
75,AX
75,AY
75,AZ
75,B
75,B1
75,C
75,C1
75,D
75,D1
75,E
75,E1
75,F
75,F1
75,F2
75,G
75,G1
75,H
75,H1
75,K1
75,L1
75,LD
75,M1
75,R
75,S1
75,Y1
76,A
76,AA
76,AB
76,AC
76,AD
76,AE
76,AF
76,AH
76,AK
76,AL
76,AM
76,AN
76,AP
76,AS
76,AT
76,AU
76,AV
76,B
76,B1
76,C
76,C1
76,C2
76,D
76,D1
76,E
76,E1
76,F
76,F1
76,G
76,G1
76,H
76,H1
76,K1
76,L1
76,LD
76,M1
76,N1
76,P1
76,R
76,S1
76,T1
76,U1
76,V1
77,A
77,AA
77,AB
77,AC
77,AD
77,AE
77,AF
77,AG
77,AH
77,AK
77,AM
77,AN
77,B
77,B1
77,C
77,C1
77,C2
77,D
77,D1
77,E
77,E1
77,F
77,F1
77,G
77,G1
77,G2
77,H
77,H1
77,K1
77,L1
77,L2
77,LD
77,M1
77,N1
77,R
78,A
78,AB
78,AC
78,AD
78,AE
78,AF
78,AH
78,AK
78,AL
78,AM
78,B
78,C
78,C1
78,D
78,D1
78,E
78,E1
78,F
78,F1
78,G
78,G1
78,H
78,H1
78,K1
78,L1
78,LD
78,M1
78,R
79,A
79,B
79,C
79,C1
79,CA
79,D
79,D1
79,DA
79,DB
79,E
79,F
79,G
79,H
79,H1
79,H2
79,HA
79,K1
79,LD
79,N1
79,N2
79,N3
79,R
79,V1
79,VA
79,X1
79,XA
79,Z1
79,ZA
79,
80,A
80,B
80,C
81,A
81,AA
81,AC
81,AD
81,AE
81,AF
81,AG
81,AH
81,AK
81,AL
81,AM
81,AN
81,AP
81,AS
81,AT
81,AU
81,AV
81,AX
81,B
81,B1
81,B2
81,B3
81,C
81,C1
81,D
81,D1
81,E
81,E1
81,F
81,F1
81,G
81,G1
81,H
81,H1
81,K1
81,L1
81,LD
81,M1
81,N1
81,P1
81,R
81,S1
81,T1
81,U1
81,V1
81,X1
82,A
82,AA
82,B
82,B1
82,B2
82,C
82,D
82,E
82,E1
82,EA
82,F
82,F1
82,G
82,G1
82,GA
82,H
82,H1
82,HA
82,K1
82,KA
82,L1
82,LA
82,LD
82,M1
82,MA
82,N1
82,R
82,UA
82,X1
82,XA
82,
83,A
83,B
83,C
83,C1
83,CA
83,D
83,D1
83,DB
83,E
83,E1
83,EA
83,F
83,G
83,G1
83,GE
83,H
83,LD
83,M1
83,MF
83,P1
83,PT
83,R
83,T1
83,TG
83,V1
83,VK
83,X1
83,XL
83,Y1
83,YM
83,Z1
83,ZY
84,A
84,AA
84,AC
84,AD
84,AE
84,AF
84,AH
84,AL
84,B
84,B1
84,B2
84,BA
84,C
84,C1
84,CA
84,D
84,D1
84,E
84,E1
84,F
84,F1
84,G
84,G1
84,H
84,H1
84,HA
84,K1
84,L1
84,LD
84,M1
84,R
85,A
85,AA
85,B
85,B1
85,C
85,C1
85,CA
85,D
85,D1
85,E
85,E1
85,EA
85,F
85,F1
85,FA
85,G
85,G1
85,GA
85,H
85,H1
85,HA
85,LD
85,NP
85,R
86,A
86,AA
86,AB
86,AC
86,AD
86,AE
86,AF
86,AH
86,AK
86,AL
86,AM
86,B
86,B1
86,B2
86,B3
86,B4
86,B5
86,B6
86,B7
86,B8
86,B9
86,C
86,C1
86,C2
86,D
86,D3
86,E
86,F
86,G
86,H
86,LD
86,R
88,A
88,AB
88,AC
88,B
88,B1
88,C
88,C1
88,D
88,D1
88,E
88,E1
88,F
88,F1
88,G
88,G1
88,H
88,H1
88,K
88,K1
88,L1
88,LD
88,R
89,A
89,AE
89,AF
89,AK
89,AT
89,B
89,B1
89,B2
89,C
89,C1
89,C2
89,D
89,D1
89,D2
89,E
89,E1
89,E2
89,F
89,F1
89,G
89,G1
89,G2
89,H
89,H1
89,H2
89,K1
89,K2
89,L1
89,LD
89,M1
89,R
90,A
90,A1
90,AA
90,AB
90,AC
90,AD
90,AE
90,AF
90,AG
90,B
90,B1
90,B2
90,B3
90,B4
90,B5
90,B6
90,B7
90,C
90,D
90,D1
90,E
90,F
90,G
90,H
90,K1
90,LD
90,R
90,T1
92,A
92,AA
92,B
92,B1
92,BA
92,C
92,C1
92,CA
92,D
92,D1
92,E
92,E1
92,EA
92,F
92,F1
92,FA
92,G
92,G1
92,GA
92,H
92,H1
92,HA
92,K1
92,KA
92,L1
92,LA
92,LD
92,M1
92,MA
92,N1
92,P1
92,PA
92,R
92,S1
92,SA
92,T1
92,TA
92,U1
92,UA
92,V1
92,VA
92,X1
92,XA
92,Y1
92,YA
92,
93,A
93,B
93,B1
93,BA
93,C
93,C1
93,CA
93,D
93,E
93,E1
93,EA
93,F
93,F1
93,FA
93,G
93,G1
93,GA
93,H
93,H1
93,HA
93,K1
93,KA
93,L1
93,LA
93,LD
93,M1
93,MA
93,P1
93,P2
93,P3
93,PA
93,R
93,Y1
93,YA
94,A
94,AB
94,AE
94,AF
94,AH
94,AK
94,B
94,B1
94,B2
94,C
94,C1
94,D
94,D1
94,D2
94,E
94,E1
94,F
94,F1
94,FD
94,FE
94,G
94,G1
94,H
94,K1
94,K2
94,L1
94,LD
94,M1
94,R
95,A
95,AA
95,B
95,B1
95,B2
95,C
95,C1
95,D
95,D1
95,E
95,E1
95,E2
95,EA
95,F
95,F1
95,G
95,G1
95,H
95,H1
95,HA
95,L1
95,LA
95,LD
95,M1
95,MA
95,N1
95,R
95,RA
95,X1
95,XA
95,
97,A
97,AA
97,AB
97,AC
97,AD
97,AE
97,AG
97,AH
97,AK
97,AL
97,B
97,B1
97,B2
97,C
97,C1
97,D
97,D1
97,E
97,E1
97,F
97,F1
97,G
97,G1
97,H
97,H1
97,K1
97,LD
97,R
98,A
98,AA
98,AB
98,AC
98,AD
98,AE
98,AF
98,AG
98,AH
98,AK
98,AL
98,B
98,B1
98,B2
98,B3
98,C
98,C1
98,D
98,D1
98,D2
98,E
98,E1
98,F
98,F1
98,G
98,G1
98,H
98,H1
98,K
98,K1
98,L1
98,LD
98,M1
98,R
99,A
99,AA
99,AB
99,AC
99,AD
99,AE
99,AF
99,AH
99,AK
99,B
99,B1
99,C
99,C1
99,D
99,D1
99,E
99,E1
99,F
99,F1
99,G
99,G1
99,H
99,H1
99,K
99,K1
99,LD
99,R
AA,Không xác định
AB,Không xác định
AC,Không xác định
AD,Không xác định
AM,Không xác định
AN,Không xác định
AP,Không xác định
AT,Không xác định
AV,Không xác định
AX,Không xác định
BB,Không xác định
BC,Không xác định
BH,Không xác định
BK,Không xác định
BL,Không xác định
BP,Không xác định
BS,Không xác định
BT,Không xác định
CA,Không xác định
CB,Không xác định
CC,Không xác định
CD,Không xác định
CH,Không xác định
CK,Không xác định
CM,Không xác định
CN,Không xác định
CP,Không xác định
CT,Không xác định
CV,Không xác định
DB,Không xác định
HA,Không xác định
HB,Không xác định
HC,Không xác định
HD,Không xác định
HE,Không xác định
HH,Không xác định
HL,Không xác định
HN,Không xác định
HQ,Không xác định
HT,Không xác định
KA,Không xác định
KB,Không xác định
KC,Không xác định
KD,Không xác định
KK,Không xác định
KN,Không xác định
KP,Không xác định
KT,Không xác định
KV,Không xác định
ND,Không xác định
PA,Không xác định
PC,Không xác định
PG,Không xác định
PK,Không xác định
PL,Không xác định
PM,Không xác định
PP-10,Không xác định
PP-40,Không xác định
PP-60,Không xác định
PQ,Không xác định
PT,Không xác định
PX,Không xác định
PY,Không xác định
QA,Không xác định
QB,Không xác định
QC,Không xác định
QH,Không xác định
QK,Không xác định
QM,Không xác định
QP,Không xác định
TC,Không xác định
TH,Không xác định
TK,Không xác định
TM,Không xác định
TN,Không xác định
TT,Không xác định
VB,Không xác định
VK,Không xác định
VT,Không xác định
